code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
DIG,2022-01-05,15:01:03,HOSE,STOCK,103.4,110.6,96.2,110.6,110.6,106.0,110.6,109.94,110.6,110.6,106.0,110.6,109.94,5196200.0,571272460000.0,260500.0,27371300000.0,7.2,7.2,6.9632
DIG,2022-01-04,15:01:02,HOSE,STOCK,96.7,103.4,90.0,100.0,103.4,98.1,103.4,102.13,100.0,103.4,98.1,103.4,102.13,3536300.0,361151040000.0,0.0,0.0,6.7,6.7,6.9286
DIG,2021-12-31,15:12:02,HOSE,STOCK,96.0,102.7,89.3,97.0,98.6,95.0,96.7,96.96,97.0,98.6,95.0,96.7,96.96,3207500.0,311002900000.0,100000.0,9800000000.0,0.7,0.7,0.7292
DIG,2021-12-30,15:12:03,HOSE,STOCK,97.0,103.7,90.3,97.0,100.0,95.0,96.0,97.35,97.0,100.0,95.0,96.0,97.35,3465900.0,337399990000.0,0.0,0.0,-1.0,-1.0,-1.0309
DIG,2021-12-29,15:12:02,HOSE,STOCK,101.5,108.6,94.4,103.0,104.5,95.8,97.0,99.69,103.0,104.5,95.8,97.0,99.69,4962500.0,494698160000.0,0.0,0.0,-4.5,-4.5,-4.4335
DIG,2021-12-28,15:12:02,HOSE,STOCK,96.3,103.0,89.6,99.7,102.3,96.9,101.5,100.15,99.7,102.3,96.9,101.5,100.15,5198300.0,520613600000.0,100000.0,9800000000.0,5.2,5.2,5.3998
DIG,2021-12-27,15:12:02,HOSE,STOCK,90.0,96.3,83.7,91.0,96.3,89.5,96.3,93.15,91.0,96.3,89.5,96.3,93.15,4182600.0,389595340000.0,57900.0,4863600000.0,6.3,6.3,7.0
DIG,2021-12-24,15:12:02,HOSE,STOCK,89.6,95.8,83.4,87.2,93.2,87.2,90.0,89.49,87.2,93.2,87.2,90.0,89.49,4147200.0,371124440000.0,0.0,0.0,0.4,0.4,0.4464
DIG,2021-12-23,15:12:04,HOSE,STOCK,96.3,103.0,89.6,96.4,96.5,89.6,89.6,91.25,96.4,96.5,89.6,89.6,91.25,10207800.0,931446560000.0,0.0,0.0,-6.7,-6.7,-6.9574
DIG,2021-12-22,15:12:02,HOSE,STOCK,93.0,99.5,86.5,98.0,99.0,95.1,96.3,97.58,98.0,99.0,95.1,96.3,97.58,4751700.0,463688970000.0,0.0,0.0,3.3,3.3,3.5484
DIG,2021-12-21,15:12:02,HOSE,STOCK,87.0,93.0,81.0,86.5,93.0,85.0,93.0,90.11,86.5,93.0,85.0,93.0,90.11,6335000.0,570876110000.0,52600.0,4313200000.0,6.0,6.0,6.8966
DIG,2021-12-20,15:12:02,HOSE,STOCK,91.0,97.3,84.7,91.0,91.1,85.0,87.0,88.3,91.0,91.1,85.0,87.0,88.3,7237000.0,639016550000.0,51700.0,4808100000.0,-4.0,-4.0,-4.3956
DIG,2021-12-17,15:12:03,HOSE,STOCK,87.2,93.3,81.1,90.8,93.0,87.0,91.0,90.48,90.8,93.0,87.0,91.0,90.48,8913300.0,806465990000.0,0.0,0.0,3.8,3.8,4.3578
DIG,2021-12-16,15:12:03,HOSE,STOCK,81.5,87.2,75.8,82.4,87.2,81.5,87.2,84.47,82.4,87.2,81.5,87.2,84.47,6229700.0,526231480000.0,0.0,0.0,5.7,5.7,6.9939
DIG,2021-12-15,15:12:03,HOSE,STOCK,77.9,83.3,72.5,82.0,82.0,79.5,81.5,81.05,82.0,82.0,79.5,81.5,81.05,5651900.0,458073720000.0,0.0,0.0,3.6,3.6,4.6213
DIG,2021-12-14,15:12:03,HOSE,STOCK,73.2,78.3,68.1,74.2,78.0,74.2,77.9,76.7,74.2,78.0,74.2,77.9,76.7,5154300.0,395354820000.0,91700.0,6265450000.0,4.7,4.7,6.4208
DIG,2021-12-13,15:12:02,HOSE,STOCK,68.5,73.2,63.8,68.5,73.2,68.0,73.2,71.43,68.5,73.2,68.0,73.2,71.43,9044700.0,646054410000.0,40000.0,2552000000.0,4.7,4.7,6.8613
DIG,2021-12-10,15:12:03,HOSE,STOCK,69.4,74.2,64.6,70.0,71.0,68.2,68.5,69.3,70.0,71.0,68.2,68.5,69.3,4534600.0,314245120000.0,40500.0,2616300000.0,-0.9,-0.9,-1.2968
DIG,2021-12-09,15:12:03,HOSE,STOCK,68.3,73.0,63.6,68.3,69.9,68.3,69.4,69.35,68.3,69.9,68.3,69.4,69.35,3314100.0,229820090000.0,0.0,0.0,1.1,1.1,1.6105
DIG,2021-12-08,15:12:01,HOSE,STOCK,68.0,72.7,63.3,68.3,71.5,66.6,68.3,69.41,68.3,71.5,66.6,68.3,69.41,6444100.0,447293340000.0,0.0,0.0,0.3,0.3,0.4412
