time,open,high,low,close,volume,ticker
7/11/2024,59.26,59.47,58.93,58.93,1446841,VCB
7/12/2024,59,59.26,58.6,58.6,1374637,VCB
7/15/2024,58.6,59.06,58.53,58.53,1174084,VCB
7/16/2024,58.6,59.26,58.6,58.8,1535446,VCB
7/17/2024,59.4,60.2,58.53,58.86,3365241,VCB
7/18/2024,59.06,59.4,58.8,58.86,1653687,VCB
7/19/2024,58.86,59.4,58.53,58.53,1325123,VCB
7/22/2024,58.53,59.06,58.39,58.66,1463116,VCB
7/23/2024,58.73,59.06,58.53,58.53,1412799,VCB
7/24/2024,58.46,58.93,58.46,58.53,1477891,VCB
7/25/2024,58.6,58.66,58.33,58.39,882334,VCB
7/26/2024,58.39,58.66,58.33,58.39,904427,VCB
7/29/2024,58.6,58.73,58.39,58.39,454233,VCB
7/30/2024,58.39,59.06,58.39,58.53,978889,VCB
7/31/2024,58.53,59.67,58.53,59.67,1865641,VCB
8/1/2024,59.73,61.14,59.67,60.67,4807705,VCB
8/2/2024,60.47,60.47,59.33,59.33,1512887,VCB
8/5/2024,59.2,59.2,58.13,58.13,3063084,VCB
8/6/2024,58.13,58.66,57.99,58.39,1654296,VCB
8/7/2024,58.46,58.66,58.19,58.66,714053,VCB
8/8/2024,58.66,58.66,58.33,58.39,962297,VCB
8/9/2024,58.46,59.06,58.46,58.66,1137871,VCB
8/12/2024,59.13,59.13,58.39,58.73,1061597,VCB
8/13/2024,58.6,59.87,58.6,59.87,1593947,VCB
8/14/2024,59.73,59.8,58.73,58.86,1494847,VCB
8/15/2024,58.86,59.4,58.6,58.6,922035,VCB
8/16/2024,58.86,59.47,58.86,58.93,1371799,VCB
8/19/2024,59.4,59.73,59.06,59.4,1656591,VCB
8/20/2024,59.47,60.74,59.47,60.74,3387268,VCB
8/21/2024,60.74,62.21,60.47,62.07,2751625,VCB
8/22/2024,62.14,62.34,61.61,61.81,1416616,VCB
8/23/2024,61.87,62.07,60.54,61.81,1078085,VCB
8/26/2024,61.61,61.94,61.27,61.54,1569224,VCB
8/27/2024,61.54,61.61,60.8,61.2,902760,VCB
8/28/2024,61.34,61.47,60.94,60.94,1032939,VCB
8/29/2024,60.87,61.81,60.87,61.2,1497431,VCB
8/30/2024,61.2,61.74,61.2,61.34,1671053,VCB
9/4/2024,60.94,60.94,60.4,60.87,1014236,VCB
9/5/2024,60.6,60.94,60.27,60.27,1185511,VCB
9/6/2024,60.33,60.74,60.07,60.33,785854,VCB
9/9/2024,60.27,60.33,59.67,60.33,703748,VCB
9/10/2024,60.27,60.33,59.53,59.53,1193581,VCB
9/11/2024,59.26,59.53,58.86,59.13,1029054,VCB
9/12/2024,59.2,60.27,59.13,59.87,1610394,VCB
9/13/2024,60.07,60.33,59.6,60.13,1625774,VCB
9/16/2024,59.93,60.2,59.4,59.47,728926,VCB
9/17/2024,59.53,60.54,59.26,60.54,971859,VCB
9/18/2024,60.6,61.47,60,60.87,1722387,VCB
9/19/2024,60.87,61.34,60.8,61.2,1346904,VCB
9/20/2024,61.41,61.54,60.6,60.6,2181722,VCB
9/23/2024,61.07,61.27,60.8,60.8,697895,VCB
9/24/2024,60.8,61.2,60.8,61,523790,VCB
9/25/2024,61.2,62.21,61,62.07,2604508,VCB
9/26/2024,62.14,62.74,61.87,61.87,1820054,VCB
9/27/2024,61.87,62.61,61.87,61.87,1073168,VCB
9/30/2024,61.87,61.87,61.54,61.54,1278350,VCB
10/1/2024,61.74,62.48,61.54,61.54,1725848,VCB
10/2/2024,61.74,62.01,61.41,62.01,1380621,VCB
10/3/2024,61.94,62.81,61.81,61.94,1700784,VCB
10/4/2024,61.87,62.07,61.74,61.74,860495,VCB
10/7/2024,61.74,61.87,61.41,61.54,611894,VCB
